season,league
30,League
31,League
32,League
33,League
34,League
34,East
34,West
35,League
35,East
35,West
36,League
36,East
36,West
37,League
37,East
37,West
38,League
38,East
38,West
39,Atlantic
39,Central
39,Northeast
39,East
39,League
39,West
39,Pacific
40,Atlantic
40,Central
40,Northeast
40,East
40,League
40,West
40,Pacific
41,Atlantic
41,Central
41,Northeast
41,East
41,League
41,West
41,Pacific
42,Atlantic
42,Central
42,Northeast
42,East
42,West
42,Pacific
43,Coastal
43,Seaboard
43,Atlantic
43,Northeast
43,Central
43,West
43,Corridor
43,Metro
43,Pacific
44,Coastal
44,Seaboard
44,Atlantic
44,Northeast
44,Central
44,West
44,Corridor
44,Metro
44,Pacific
45,Coastal
45,Seaboard
45,Atlantic
45,Northeast
45,Central
45,West
45,Corridor
45,Metro
45,Pacific
46,Coastal
46,Seaboard
46,Atlantic
46,Northeast
46,Central
46,West
46,Corridor
46,Metro
46,Pacific
47,Coastal
47,Seaboard
47,Atlantic
47,Northeast
47,Central
47,West
47,Corridor
47,Metro
47,Pacific
48,Coastal
48,Seaboard
48,Atlantic
48,Northeast
48,League
48,Central
48,West
48,Corridor
48,Metro
48,Pacific
49,Coastal
49,Seaboard
49,Atlantic
49,Northeast
49,League
49,Central
49,West
49,Corridor
49,Metro
49,Pacific
50,Coastal
50,Seaboard
50,Atlantic
50,Northeast
50,League
50,Central
50,West
50,Corridor
50,Metro
50,Pacific
51,Coastal
51,Seaboard
51,Atlantic
51,Northeast
51,League
51,Central
51,West
51,Corridor
51,Metro
51,Pacific
52,Coastal
52,Atlantic
52,Northeast
52,League
52,Central
52,Corridor
52,West
52,Seaboard
52,Metro
52,Pacific
53,Coastal
53,Atlantic
53,Northeast
53,League
53,Central
53,Corridor
53,West
53,Seaboard
53,Metro
53,Pacific
54,Coastal
54,Atlantic
54,Northeast
54,League
54,Central
54,Corridor
54,West
54,Seaboard
54,Metro
54,Pacific
55,Coastal
55,Atlantic
55,Northeast
55,League
55,Central
55,Corridor
55,West
55,Seaboard
55,Metro
55,Pacific
56,Coastal
56,Highland
56,Atlantic
56,Midland
56,Northeast
56,League
56,Central
56,Corridor
56,Continental
56,West
56,Seaboard
56,Metro
56,Pacific
57,Coastal
57,Highland
57,Atlantic
57,Midland
57,Northeast
57,League
57,Central
57,Corridor
57,Continental
57,West
57,Seaboard
57,Metro
57,Pacific
58,Highland
58,Coastal
58,Atlantic
58,Midland
58,Northeast
58,Central
58,Corridor
58,Continental
58,West
58,Seaboard
58,Metro
58,Pacific
59,Highland
59,Coastal
59,Atlantic
59,Midland
59,Northeast
59,Central
59,Corridor
59,Continental
59,West
59,Seaboard
59,Metro
59,Pacific
60,Highland
60,Coastal
60,Seaboard
60,Midland
60,Central
60,Corridor
60,Metro
60,Pacific
61,Highland
61,Coastal
61,Seaboard
61,Midland
61,Metro
61,Central
61,Corridor
61,Frontier
61,Pacific
62,Highland
62,Coastal
62,Skyline
62,Seaboard
62,Midland
62,Metro
62,Central
62,Corridor
62,Frontier
62,Pacific
63,Highland
63,Coastal
63,Skyline
63,Horizon
63,Seaboard
63,Midland
63,Metro
63,Central
63,Corridor
63,Frontier
63,Pacific
64,Highland
64,Coastal
64,Maritime
64,Skyline
64,Horizon
64,Seaboard
64,Midland
64,Metro
64,Central
64,Meridian
64,Corridor
64,Frontier
64,Pacific
65,Highland
65,Coastal
65,Maritime
65,Pacific
65,Skyline
65,Horizon
65,Seaboard
65,Sequoia
65,Midland
65,Metro
65,Central
65,Meridian
65,Corridor
65,Frontier
65,Memorial
66,Coastal
66,Highland
66,Maritime
66,Pacific
66,Skyline
66,Alpine
66,Horizon
66,Seaboard
66,Sequoia
66,Midland
66,Metro
66,Central
66,Meridian
66,Corridor
66,Sugarloaf
66,Frontier
66,Memorial
67,Maritime
67,Alpine
67,Horizon
67,Midland
67,Corridor
67,Memorial
67,Sequoia
67,Central
67,Continental
67,Meridian
67,Frontier
67,Pacific
67,Highland
67,Skyline
67,Coastal
67,Badlands
67,Seaboard
67,Sugarloaf
67,Metro
68,Maritime
68,Alpine
68,Horizon
68,Midland
68,Corridor
68,Memorial
68,Magnolia
68,Sequoia
68,Central
68,Continental
68,Meridian
68,Arcadia
68,Frontier
68,Pacific
68,Highland
68,Skyline
68,Cascade
68,Coastal
68,Badlands
68,Seaboard
68,Sugarloaf
68,Metro
69,Maritime
69,Alpine
69,Horizon
69,Morningstar
69,Midland
69,Corridor
69,Memorial
69,Magnolia
69,Atlantic
69,Sequoia
69,Central
69,Continental
69,Meridian
69,Arcadia
69,Frontier
69,Pacific
69,Highland
69,Skyline
69,Cascade
69,Coastal
69,Tundra
69,Badlands
69,Seaboard
69,Sugarloaf
69,Metro
70,Maritime
70,Alpine
70,Horizon
70,Morningstar
70,Midland
70,Corridor
70,Memorial
70,Magnolia
70,Laguna
70,Atlantic
70,Sequoia
70,Central
70,Bayou
70,Continental
70,Meridian
70,Arcadia
70,Frontier
70,Pacific
70,Highland
70,Skyline
70,Cascade
70,Piedmont
70,Coastal
70,Tundra
70,Badlands
70,Seaboard
70,Sugarloaf
70,Metro
71,Plaza
71,Maritime
71,Alpine
71,Horizon
71,Morningstar
71,Midland
71,Corridor
71,Memorial
71,Magnolia
71,Laguna
