season,rundle,league,div
30,A,League,0
30,B,League,0
30,C,League,0
30,R,League,0
31,A,League,0
31,B,League,0
31,C,League,0
32,A,League,0
32,B,League,0
32,C,League,0
32,R,League,0
33,A,League,0
33,B,League,0
33,C,League,0
33,R,League,0
34,A,East,0
34,B,East,0
34,C,East,0
34,A,West,0
34,B,West,0
34,C,West,0
34,R,League,0
35,A,East,0
35,B,East,0
35,C,East,0
35,A,West,0
35,B,West,0
35,C,West,0
35,R,League,0
36,A,East,0
36,B,East,0
36,C,East,0
36,A,West,0
36,B,West,0
36,C,West,0
36,R,League,0
37,A,East,0
37,B,East,0
37,C,East,0
37,A,West,0
37,B,West,0
37,C,West,0
37,R,League,0
38,A,East,0
38,B,East,0
38,C,East,0
38,A,West,0
38,B,West,0
38,C,West,0
38,R,League,0
39,A,East,0
39,B,Northeast,0
39,B,Atlantic,0
39,C,East,0
39,A,West,0
39,B,Central,0
39,B,Pacific,0
39,C,West,0
39,R,League,0
40,A,East,0
40,B,Northeast,0
40,B,Atlantic,0
40,C,East,0
40,A,West,0
40,B,Central,0
40,B,Pacific,0
40,C,West,0
40,R,League,0
41,A,East,0
41,B,Northeast,0
41,B,Atlantic,0
41,C,East,0
41,A,West,0
41,B,Central,0
41,B,Pacific,0
41,C,West,0
41,R,League,0
42,A,East,0
42,B,Northeast,0
42,B,Atlantic,0
42,C,East,0
42,A,West,0
42,B,Central,0
42,B,Pacific,0
42,C,West,0
42,R,East,0
42,R,West,0
43,A,Northeast,0
43,B,Corridor,0
43,B,Metro,0
43,C,Northeast,0
43,A,Atlantic,0
43,B,Coastal,0
43,B,Seaboard,0
43,C,Atlantic,0
43,A,West,0
43,B,Central,0
43,B,Pacific,0
43,C,West,0
43,R,Northeast,0
43,R,Atlantic,0
43,R,West,0
44,A,Northeast,0
44,B,Corridor,0
44,B,Metro,0
44,C,Northeast,0
44,A,Atlantic,0
44,B,Coastal,0
44,B,Seaboard,0
44,C,Atlantic,0
44,A,West,0
44,B,Central,0
44,B,Pacific,0
44,C,West,0
44,R,Northeast,0
44,R,Atlantic,0
44,R,West,0
45,A,Northeast,0
45,B,Corridor,0
45,B,Metro,0
45,C,Northeast,0
45,A,Atlantic,0
45,B,Coastal,0
45,B,Seaboard,0
45,C,Atlantic,0
45,A,West,0
45,B,Central,0
45,B,Pacific,0
45,C,West,0
45,R,Northeast,0
45,R,Atlantic,0
45,R,West,0
46,A,Northeast,0
46,B,Corridor,0
46,B,Metro,0
46,C,Corridor,0
46,C,Metro,0
46,A,Atlantic,0
46,B,Coastal,0
46,B,Seaboard,0
46,C,Atlantic,0
46,A,West,0
46,B,Central,0
46,B,Pacific,0
46,C,West,0
46,R,Northeast,0
46,R,Atlantic,0
46,R,West,0
47,A,Northeast,0
47,B,Corridor,0
47,B,Metro,0
47,C,Corridor,0
47,C,Metro,0
47,A,Atlantic,0
47,B,Coastal,0
47,B,Seaboard,0
47,C,Coastal,0
47,C,Seaboard,0
47,A,West,0
47,B,Central,0
47,B,Pacific,0
47,C,West,0
47,R,Northeast,0
47,R,Atlantic,0
47,R,West,0
48,Championship,League,0
48,A,Northeast,0
48,B,Corridor,0
48,B,Metro,0
48,C,Corridor,0
48,C,Metro,0
48,D,Northeast,0
48,A,Atlantic,0
48,B,Coastal,0
48,B,Seaboard,0
48,C,Coastal,0
48,C,Seaboard,0
48,D,Atlantic,0
48,A,West,0
48,B,Central,0
48,B,Pacific,0
48,C,Central,0
48,C,Pacific,0
48,R,Northeast,0
48,R,Atlantic,0
48,R,West,0
49,Championship,League,0
49,A,Northeast,0
49,B,Corridor,0
49,B,Metro,0
49,C,Corridor,0
49,C,Metro,0
49,D,Northeast,0
49,A,Atlantic,0
49,B,Coastal,0
49,B,Seaboard,0
49,C,Coastal,0
49,C,Seaboard,0
49,D,Atlantic,0
49,A,West,0
49,B,Central,0
49,B,Pacific,0
49,C,Central,0
49,C,Pacific,0
49,R,Northeast,0
49,R,Atlantic,0
49,R,West,0
50,Championship,League,0
50,A,Northeast,0
50,B,Corridor,0
50,B,Metro,0
50,C,Corridor,0
50,C,Metro,0
50,D,Northeast,0
50,A,Atlantic,0
50,B,Coastal,0
50,B,Seaboard,0
50,C,Coastal,0
50,C,Seaboard,0
50,D,Atlantic,0
50,A,West,0
50,B,Central,0
50,B,Pacific,0
50,C,Central,0
50,C,Pacific,0
50,R,Northeast,0
50,R,Atlantic,0
50,R,West,0
51,Championship,League,0
51,A,Northeast,0
51,B,Corridor,0
51,B,Metro,0
51,C,Corridor,0
51,C,Metro,0
51,D,Corridor,0
51,D,Metro,0
51,A,Atlantic,0
51,B,Coastal,0
51,B,Seaboard,0
51,C,Coastal,0
51,C,Seaboard,0
51,D,Coastal,0
51,D,Seaboard,0
51,A,West,0
51,B,Central,0
51,B,Pacific,0
51,C,Central,0
51,C,Pacific,0
51,D,Central,0
51,D,Pacific,0
51,R,Corridor,0
51,R,Metro,0
51,R,Coastal,0
51,R,Seaboard,0
51,R,Central,0
51,R,Pacific,0
52,Championship,League,0
52,A,Atlantic,0
52,B,Coastal,0
52,B,Seaboard,0
52,C,Coastal,0
52,C,Seaboard,0
52,D,Coastal,0
52,D,Seaboard,0
52,E,Atlantic,0
52,R,Coastal,0
52,R,Seaboard,0
52,A,Northeast,0
52,B,Corridor,0
52,B,Metro,0
52,C,Corridor,0
52,C,Metro,0
52,D,Corridor,0
52,D,Metro,0
52,E,Northeast,0
52,R,Corridor,0
52,R,Metro,0
52,A,West,0
52,B,Central,0
52,B,Pacific,0
52,C,Central,0
52,C,Pacific,0
52,D,Central,0
52,D,Pacific,0
52,E,West,0
52,R,Central,0
52,R,Pacific,0
53,Championship,League,0
53,A,Atlantic,0
53,B,Coastal,0
53,B,Seaboard,0
53,C,Coastal,0
53,C,Seaboard,0
53,D,Coastal,0
53,D,Seaboard,0
53,E,Coastal,0
53,E,Seaboard,0
53,R,Coastal,0
53,R,Seaboard,0
53,A,Northeast,0
53,B,Corridor,0
53,B,Metro,0
53,C,Corridor,0
53,C,Metro,0
53,D,Corridor,0
53,D,Metro,0
53,E,Corridor,0
53,E,Metro,0
53,R,Corridor,0
53,R,Metro,0
53,A,West,0
53,B,Central,0
53,B,Pacific,0
53,C,Central,0
53,C,Pacific,0
53,D,Central,0
53,D,Pacific,0
53,E,Central,0
53,E,Pacific,0
53,R,Central,0
53,R,Pacific,0
54,Championship,League,0
54,A,Atlantic,0
54,B,Coastal,0
54,B,Seaboard,0
54,C,Coastal,0
54,C,Seaboard,0
54,D,Coastal,0
54,D,Seaboard,0
54,E,Coastal,0
54,E,Seaboard,0
54,R,Coastal,0
54,R,Seaboard,0
54,A,Northeast,0
54,B,Corridor,0
54,B,Metro,0
54,C,Corridor,0
54,C,Metro,0
54,D,Corridor,0
54,D,Metro,0
54,E,Corridor,0
54,E,Metro,0
54,R,Corridor,0
54,R,Metro,0
54,A,West,0
54,B,Central,0
54,B,Pacific,0
54,C,Central,0
54,C,Pacific,0
54,D,Central,0
54,D,Pacific,0
54,E,Central,0
54,E,Pacific,0
54,R,Central,0
54,R,Pacific,0
55,Championship,League,0
55,A,Atlantic,0
55,B,Coastal,0
55,B,Seaboard,0
55,C,Coastal,0
55,C,Seaboard,0
55,D,Coastal,0
55,D,Seaboard,0
55,E,Coastal,0
55,E,Seaboard,0
55,R,Coastal,0
55,R,Seaboard,0
55,A,Northeast,0
55,B,Corridor,0
55,B,Metro,0
55,C,Corridor,0
55,C,Metro,0
55,D,Corridor,0
55,D,Metro,0
55,E,Corridor,0
55,E,Metro,0
55,R,Corridor,0
55,R,Metro,0
55,A,West,0
55,B,Central,0
55,B,Pacific,0
55,C,Central,0
55,C,Pacific,0
55,D,Central,0
55,D,Pacific,0
55,E,Central,0
55,E,Pacific,0
55,R,Central,0
55,R,Pacific,0
56,Championship,League,0
56,A,Atlantic,0
56,B,Coastal,0
56,B,Seaboard,0
56,C,Coastal,0
56,C,Seaboard,0
56,D,Coastal,0
56,D,Seaboard,0
56,E,Coastal,0
56,E,Seaboard,0
56,R,Coastal,0
56,R,Seaboard,0
56,A,Continental,0
56,B,Highland,0
56,B,Midland,0
56,C,Highland,0
56,C,Midland,0
56,D,Highland,0
56,D,Midland,0
56,E,Highland,0
56,E,Midland,0
56,R,Highland,0
56,R,Midland,0
56,A,Northeast,0
56,B,Corridor,0
56,B,Metro,0
56,C,Corridor,0
56,C,Metro,0
56,D,Corridor,0
56,D,Metro,0
56,E,Corridor,0
56,E,Metro,0
56,R,Corridor,0
56,R,Metro,0
56,A,West,0
56,B,Central,0
56,B,Pacific,0
56,C,Central,0
56,C,Pacific,0
56,D,Central,0
56,D,Pacific,0
56,E,Central,0
56,E,Pacific,0
56,R,Central,0
56,R,Pacific,0
57,Championship,League,0
57,A,Atlantic,0
57,B,Coastal,0
57,B,Seaboard,0
57,C,Coastal,0
57,C,Seaboard,0
57,D,Coastal,0
57,D,Seaboard,0
57,E,Coastal,1
57,E,Coastal,2
57,E,Seaboard,1
57,E,Seaboard,2
57,R,Coastal,0
57,R,Seaboard,0
57,A,Continental,0
57,B,Highland,0
57,B,Midland,0
57,C,Highland,0
57,C,Midland,0
57,D,Highland,0
57,D,Midland,0
57,E,Highland,1
57,E,Highland,2
57,E,Midland,1
57,E,Midland,2
57,R,Highland,0
57,R,Midland,0
57,A,Northeast,0
57,B,Corridor,0
57,B,Metro,0
57,C,Corridor,0
57,C,Metro,0
57,D,Corridor,0
57,D,Metro,0
57,E,Corridor,1
57,E,Corridor,2
57,E,Metro,1
57,E,Metro,2
57,R,Corridor,0
57,R,Metro,0
57,A,West,0
57,B,Central,0
57,B,Pacific,0
57,C,Central,0
57,C,Pacific,0
57,D,Central,0
57,D,Pacific,0
57,E,Central,1
57,E,Central,2
57,E,Pacific,1
57,E,Pacific,2
57,R,Central,0
57,R,Pacific,0
58,A,Atlantic,0
58,B,Coastal,0
58,B,Seaboard,0
58,C,Coastal,0
58,C,Seaboard,0
58,D,Coastal,1
58,D,Coastal,2
58,D,Seaboard,1
58,D,Seaboard,2
58,E,Coastal,1
58,E,Coastal,2
58,E,Seaboard,1
58,E,Seaboard,2
58,R,Coastal,0
58,R,Seaboard,0
58,A,Continental,0
58,B,Highland,0
58,B,Midland,0
58,C,Highland,0
58,C,Midland,0
58,D,Highland,1
58,D,Highland,2
58,D,Midland,1
58,D,Midland,2
58,E,Highland,1
58,E,Highland,2
58,E,Midland,1
58,E,Midland,2
58,R,Highland,0
58,R,Midland,0
58,A,Northeast,0
58,B,Corridor,0
58,B,Metro,0
58,C,Corridor,0
58,C,Metro,0
58,D,Corridor,1
58,D,Corridor,2
58,D,Metro,1
58,D,Metro,2
58,E,Corridor,1
58,E,Corridor,2
58,E,Metro,1
58,E,Metro,2
58,R,Corridor,0
58,R,Metro,0
58,A,West,0
58,B,Central,0
58,B,Pacific,0
58,C,Central,0
58,C,Pacific,0
58,D,Central,1
58,D,Central,2
58,D,Pacific,1
58,D,Pacific,2
58,E,Central,1
58,E,Central,2
58,E,Pacific,1
58,E,Pacific,2
58,R,Central,0
58,R,Pacific,0
59,A,Atlantic,0
59,B,Coastal,0
59,B,Seaboard,0
59,C,Coastal,0
59,C,Seaboard,0
59,D,Coastal,1
59,D,Coastal,2
59,D,Seaboard,1
59,D,Seaboard,2
59,E,Coastal,1
59,E,Coastal,2
59,E,Seaboard,1
59,E,Seaboard,2
59,R,Coastal,0
59,R,Seaboard,0
59,A,Continental,0
59,B,Highland,0
59,B,Midland,0
59,C,Highland,0
59,C,Midland,0
59,D,Highland,1
59,D,Highland,2
59,D,Midland,1
59,D,Midland,2
59,E,Highland,1
59,E,Highland,2
59,E,Midland,1
59,E,Midland,2
59,R,Highland,0
59,R,Midland,0
59,A,Northeast,0
59,B,Corridor,0
59,B,Metro,0
59,C,Corridor,0
59,C,Metro,0
59,D,Corridor,1
59,D,Corridor,2
59,D,Metro,1
59,D,Metro,2
59,E,Corridor,1
59,E,Corridor,2
59,E,Metro,1
59,E,Metro,2
59,R,Corridor,0
59,R,Metro,0
59,A,West,0
59,B,Central,0
59,B,Pacific,0
59,C,Central,0
59,C,Pacific,0
59,D,Central,1
59,D,Central,2
59,D,Pacific,1
59,D,Pacific,2
59,E,Central,1
59,E,Central,2
59,E,Pacific,1
59,E,Pacific,2
59,R,Central,0
59,R,Pacific,0
60,A,Central,0
60,B,Central,0
60,C,Central,0
60,D,Central,1
60,D,Central,2
60,E,Central,1
60,E,Central,2
60,R,Central,1
60,R,Central,2
60,A,Coastal,0
60,B,Coastal,0
60,C,Coastal,0
60,D,Coastal,1
60,D,Coastal,2
60,E,Coastal,1
60,E,Coastal,2
60,R,Coastal,0
60,A,Corridor,0
60,B,Corridor,0
60,C,Corridor,0
60,D,Corridor,1
60,D,Corridor,2
60,E,Corridor,1
60,E,Corridor,2
60,R,Corridor,1
60,R,Corridor,2
60,A,Highland,0
60,B,Highland,0
60,C,Highland,0
60,D,Highland,1
60,D,Highland,2
60,E,Highland,1
60,E,Highland,2
60,R,Highland,0
60,A,Metro,0
60,B,Metro,0
60,C,Metro,0
60,D,Metro,1
60,D,Metro,2
60,E,Metro,1
60,E,Metro,2
60,R,Metro,1
60,R,Metro,2
60,A,Midland,0
60,B,Midland,0
60,C,Midland,0
60,D,Midland,1
60,D,Midland,2
60,E,Midland,1
60,E,Midland,2
60,R,Midland,1
60,R,Midland,2
60,A,Pacific,0
60,B,Pacific,0
60,C,Pacific,0
60,D,Pacific,1
60,D,Pacific,2
60,E,Pacific,1
60,E,Pacific,2
60,R,Pacific,1
60,R,Pacific,2
60,A,Seaboard,0
60,B,Seaboard,0
60,C,Seaboard,0
60,D,Seaboard,1
60,D,Seaboard,2
60,E,Seaboard,1
60,E,Seaboard,2
60,R,Seaboard,1
60,R,Seaboard,2
61,A,Central,0
61,B,Central,0
61,C,Central,0
61,D,Central,1
61,D,Central,2
61,E,Central,1
61,E,Central,2
61,R,Central,1
61,R,Central,2
61,A,Coastal,0
61,B,Coastal,0
61,C,Coastal,0
61,D,Coastal,1
61,D,Coastal,2
61,E,Coastal,1
61,E,Coastal,2
61,R,Coastal,1
61,R,Coastal,2
61,A,Corridor,0
61,B,Corridor,0
61,C,Corridor,0
61,D,Corridor,1
61,D,Corridor,2
