,id,deceased,current_status,branch_id,branch_name,college,gender,location,referrer,league,username
39204,39204,False,std,25924,ThompsonAM,"University of California, Santa Cruz",Female,"Berlin, Germany",9113,Skyline,AVeryMerryUnbirthday
35088,35088,False,std,11063,BradleyA,Santa Clara University,Female,"Washington, DC",11064,Patagonia,AagaardK
65415,65415,False,std,22135,BrensingerB,,Male,"Chicago, Illinois",60483,Riviera,AakaluV
14777,14777,False,pm,10297,MellemK,University of Kansas,Male,"Brooklyn, New York",10297,Centennial,AakerJ
37516,37516,False,std,2592,BarrettE,University of Chicago,Agender,"Chicago, Illinois",2592,Maritime,AanensenK
14281,14281,False,std,16394,MockR,College of the Virgin Islands,Male,"Sands Point, New York",26183,Rubicon,AaronA
5371,5371,False,std,2811,vonHaamK,Johns Hopkins University,Male,"Saranac Lake, New York",2811,Coastal,AaronK
65373,65373,False,std,8047,DisnerS,Barnard College,Female,"Chicago, Illinois",8047,Zenith,AaronsonA
8476,8476,False,pm,2622,RossM,UMass Amherst and NYU,Male,"South Hadley, Massachusetts",2622,Taiga,Aas S
17415,17415,False,std,17415,AastorpH,University of Oslo,Male,"Oslo, Norway",24847,Meridian,AastorpH
65936,65936,False,topcont,38091,SpauldingM,,Female,"Bonita, California",57105,Utopia,AbarrondoA
56112,56112,False,std,5218,BernsL,,Male,"Washington, DC",41112,Citadel,AbateM
45299,45299,False,std,29332,ZieglerP,Boston College,Female,"New York, New York",40560,Tundra,AbateS
52442,52442,False,std,23763,CottB,Stanford,Female,"Portola Valley, California",44390,Polaris,AbbottM
65084,65084,False,std,16100,ChangD,Harvard,Male,"Los Angeles, California",56233,Alpine,AbbottS2
15254,15254,False,std,15254,AbdalianA,Swarthmore College,Male,"New Orleans, Louisiana",1051,Commonwealth,AbdalianA
48445,48445,False,pm,29522,SweeneyJ,Lehigh University,Male,"Quakertown, Pennsylvania",11694,Junction,AbelE
38883,38883,False,std,18509,DawsonKatya,Beloit College,Male,"Washington, DC",37475,Woodlands,AbelSR
9237,9237,False,std,20482,Grayt,,Male,"Woodbridge, Virginia",3744,Magnolia,AbelT
40259,40259,False,std,10831,DiGiorgioN,NYU,Male,"New York, New York",8564,Peninsula,AbelesD
42840,42840,False,std,1849,RosenbergJ,McGill University,Male,"Silver Spring, Maryland",37375,Horizon,AbelmanJA
62961,62961,False,std,16235,WillardS,Columbia College/Columbia University,Male,"New York, New York",54861,Highland,AbelowJ
66934,66934,False,std,19223,MiddletonA,Lehigh University,Male,"Queens, New York",58982,Polaris,AbendA
23095,23095,False,std,17128,MaebiusA,Vanderbilt / Columbia,Male,"New York, New York",29590,Highland,AbendM
45162,45162,False,pm,9659,McGeehanJ,Purdue University,Male,"Indianapolis, Indiana",9659,Rainbow,AbernathyC
13744,13744,False,std,16070,BarnesMRaff,Duke University,Male,"San Francisco, California",23001,Valhalla,AbernethyD
53988,53988,False,std,23475,KavanaughS,Washington University in St. Louis,Non-binary,"St. Louis, Missouri",47783,Elysium,AbiSamraF
60377,60377,False,std,23475,KavanaughS,Hendrix College / Washington University in St. Louis,Female,"New Orleans, Louisiana",53988,Elysium,AbiSamraR
52990,52990,False,std,28743,HortonC,,Male,"Summerville, South Carolina",46612,Atlantic,AbodeelyE
49217,49217,False,pm,12886,MercureT,Rensselaer Polytechnic Institute,Male,"Sarasota, Florida",25894,Zenith,AbolafiaD
29765,29765,False,std,22198,JayI,,Female,"Washington, DC",12853,Frontier,AbonamahJ
11517,11517,False,std,9936,TolanyB,University of California Berkeley,Male,"San Diego, California",9936,River,Abou-SayedT
57231,57231,False,std,16235,WillardS,Manhattan College/Fordham University,Male,"Stamford, Connecticut",39668,Highland,AbplanalpJ
33929,33929,False,pm,10864,KonouchiN,Rice,Male,"Austin, Texas",10864,Midland,AbrahamJ
59837,59837,False,std,22949,CechL,Dartmouth College,Male,"Brooklyn, New York",53911,Junction,AbrahamK
2328,2328,False,std,17907,CampbellEW,Yes,Male,"Atlanta, Georgia",8551,Veldt,AbrahamM
1624,1624,False,std,2390,HungEY,Loma Linda University,Female,"Miamisburg, Ohio",23165,Coastal,AbrahamN
63341,63341,False,std,19548,GrewalG,,Male,"Aleppey, India",57683,Yukon,AbrahamP
50884,50884,False,std,29125,RubensteinM,,Male,"Glendale, California",37771,Skyline,AbrahamS2
6774,6774,False,topcont,7795,CitronDT,Georgetown University,Female,"Brooklyn, New York",5150,Laurel,AbrahamsR
59277,59277,False,pm,3056,RafalA,Harvard College,Male,"New York, New York",43487,Piedmont,AbrahamsR2
45136,45136,False,std,1859,RabnerG,Columbia University,Male,"Montclair, New Jersey",1859,Horizon,AbrahamsonS
50236,50236,False,std,10795,BlomE,Penn State,Female,"New York, New York",26703,Ravenna,AbramowitzA
40447,40447,False,std,18151,O'DonnellM2,University of Pennsylvania,Male,"New York, New York",36981,Monolith,Abrams-DowneyS
3818,3818,False,std,25100,LinJK,Oberlin College,Male,"San Francisco, California",25100,Peninsula,Abrams-SlepT
66316,66316,False,std,4542,HillT,,Male,"Los Angeles, California",52838,Magnolia,AbramsA2
14713,14713,False,std,26209,CantorN,,Female,"Brooklyn, New York",25227,Serengeti,AbramsBA
47764,47764,False,std,11863,McKenzieMac,Rutgers,Male,"Las Vegas, Nevada",26006,Junction,AbramsC
51562,51562,False,std,11863,McKenzieMac,University of California at Irvine,Female,"Las Vegas, Nevada",47764,Junction,AbramsG
14202,14202,False,std,2138,NagorskyM,Illinois,Male,"Deerfield, Illinois",27953,Sierra,AbramsonG
62817,62817,False,std,14965,SilikovitzH,CCNY,Female,"New York, New York",10611,Continental,AbramsonL
13823,13823,False,pm,2535,MisnerA,,Male,"Richland, Washington",2535,Union,AbrechtD
54856,54856,False,std,20669,LambertA,,Male,"Washington, DC",34095,Maelstrom,AbreschS2
54841,54841,False,std,20669,LambertA,,Female,"Washington, DC",14192,Maelstrom,AbreschSE
49489,49489,False,std,15456,BrochinS,Rutgers University,Male,"Stoughton, Wisconsin",21115,Memorial,AceC
36043,36043,False,std,25662,HeadyCR,University of Dayton,Male,"Hampstead, North Carolina",23341,Xanadu,AcerB
29801,29801,False,std,10936,McGowenR,UPR,Male,"Milton, New York",16375,Spring,AcevedoD
66983,66983,False,topcont,27097,MunsonE2,,Female,"Salt Lake City, Utah",27097,Cherry,AcheeA
58663,58663,False,std,5707,SandukasG,,Male,"New York, New York",47047,Prairie,AchesonD
57174,57174,False,std,10683,GoodmanM,,Female,"Austin, Texas",38127,Evergreen,AckA
22669,22669,False,std,21631,LaseeD,Washington and Lee,Male,"Green Bay, Wisconsin",21631,Coastal,AckellW
23120,23120,False,std,4731,LipkinA,American University,Female,"Needham, Massachusetts",18024,Prairie,Acker-RothenbergL
61159,61159,False,std,18426,HamburgerM,Duke University,Male,"Falls Church, Virginia",57218,Mesa,AckerM
67077,67077,False,topcont,17676,WinchellV,,Male,"Brooklyn, New York",64278,Pacific,AckermanA
61382,61382,False,std,2297,IsalesC,Colby College/Cornell University,Female,"Baltimore, Maryland",57227,Memorial,AckermanK
27718,27718,False,pm,12417,KearnsT,University of Kansas,Cisgender Male,"Silver Spring, Maryland",12417,Sakura,Acosta-FoxR
60042,60042,False,std,22916,QuesnelleL,,Female,"Hamilton, Ohio",22916,Sequoia,AcresS
60624,60624,False,std,17332,WeiszJ,University of Illinois Urbana Champaign,Male,"Brooklyn, New York",48753,Windward,ActonD
58706,58706,False,pm,45313,AmbrowiakG,,Male,"Hubertus, Wisconsin",50890,Frontier,ActonS
37241,37241,False,std,16657,CrosslandC,Arizona State University,Male,"Austin, Texas",16580,Highland,AdairS
39900,39900,False,pm,1829,CohenAa,MIT,Male,"Washington, DC",1138,Wilderness,AdamczykA
52905,52905,False,pm,5867,KulikowskiA,University of Michigan / Eastern Michigan University,Male,"Canton, Michigan",28308,Sequoia,AdamekD
8610,8610,False,pm,29227,LovejoyA,California State University Long Beach,Male,"Champaign, Illinois",8277,Canyon,AdamoT
3956,3956,False,std,9260,EtebariM,,Male,"Washington, DC",9260,Skyline,AdamsAJH
44563,44563,False,std,19486,EisenmanJ,Pepperdine,Male,"Studio City, California",39201,Meridian,AdamsB
5512,5512,False,pm,12886,MercureT,Bowdoin College,Male,"Arlington, Virginia",21198,Zenith,AdamsC
3796,3796,False,std,13172,LeBoffJ,Georgia Tech,Male,"SAN FRANCISCO, California",9479,Galaxy,AdamsC2
29504,29504,False,std,24436,HunterTJ,,Male,"Iowa City, Iowa",6222,Sierra,AdamsCJ
5926,5926,False,pm,1574,ZiefS,,Male,"New York, New York",1574,Olympic,AdamsD
59352,59352,False,std,22950,VachaspatiP,Mit,Male,"Palo Ato, California",14165,Zephyr,AdamsD2
23551,23551,False,std,6014,DixonM,Stanford University,Male,"Chicago, Illinois",12891,Central,AdamsEk
63917,63917,False,std,28026,AshtonM,,Male,"Chicago, Illinois",50211,Ravenna,AdamsErik
40411,40411,False,std,15852,CorrinL,UC San Diego,Male,"Renton, Washington",13226,Village,AdamsG
1626,1626,False,std,12332,GaoB,University of Pennsylvania,Male,"Darien, Connecticut",9723,Woodlands,AdamsJ23
54953,54953,False,std,18444,KupferDPaws,University of Victoria,Male,"Bangkok, Thailand",50406,Keystone,AdamsJ5
43274,43274,False,topcont,6269,Almasa,Georgia Tech,Male,"Sioux Falls, South Dakota",36451,Cherry,AdamsJ7
1217,1217,False,std,2363,ShenS,Princeton University,Female,"New York, New York",3656,Xanadu,AdamsJL
8263,8263,False,std,28743,HortonC,"Boston College, Pratt Institute",Male,"Lebanon, New Hampshire",23975,Atlantic,AdamsJLP
2737,2737,False,std,4337,BlockS,,Female,"Los Angeles, California",29588,Outback,AdamsK2
46569,46569,False,std,26592,AlexanderTJ,University of North Georgia,Female,"Athens, Georgia",14637,Maelstrom,AdamsK3
59229,59229,False,pm,10471,DuncanT,,Female,"San Antonio, Texas",10471,Highland,AdamsL2
15382,15382,False,std,23714,SausvilleK,Washington & Jefferson College,Male,"Johnstown, Pennsylvania",23714,Memorial,AdamsM2
39867,39867,False,pm,4667,PriebeC,Eastern Michigan University,Male,"Canton, Michigan",9394,Xanadu,AdamsM6
8282,8282,False,std,20901,HurwitzN,University of Cincinnati,Male,"Louisville, Kentucky",1378,Commonwealth,AdamsMD
42549,42549,False,std,22547,KerthR,Dickinson College,Male,"Brooklyn, New York",38100,Nebula,AdamsN2
44817,44817,False,cc,44817,AdamsN32,University of Virginia,Male,"Boston, Massachusetts",9394,Xanadu,AdamsN32
39479,39479,False,std,16815,LemireD,La Salle University,Male,"Philadelphi, Pennsylvania",22322,Fjord,AdamsNP
24609,24609,False,std,14338,MitchellK,Williams College,Male,"San Leandro, California",14338,Isthmus,AdamsPL
7775,7775,False,cc,24787,SparrowX,,Male,"Columbus, Ohio",24787,Typhoon,AdamsR
11963,11963,False,pm,3795,EdwardsDP,Purdue University,Male,"Fishers, Indiana",3795,Sunrise,AdamsRS
62676,62676,False,std,18200,PetersonT,Swarthmore,Male,"Philadelphia, Pennsylvania",17357,River,AdamsS Philly
61521,61521,False,std,44713,ZunS,Birmingham-Southern College and Emory University,Female,"Portland, Oregon",55365,Garden,AdamsS21
65859,65859,False,std,47556,ElsaifiM,,Male,"Naperville, Illinois",62838,Alpine,AdamsS6
26960,26960,False,pm,26960,AdamsS86,Dartmouth College,Male,"Brooklyn, New York",12624,Centennial,AdamsS86
24645,24645,False,std,6014,DixonM,UW-Madison,Male,"Hackensack, Minnesota",23551,Central,AdamsSA
48250,48250,False,pm,44817,AdamsN32,University of Massachusetts Boston,Female,"Richmond, Virginia",44817,Xanadu,AdamsSE
59140,59140,False,std,7433,TiptonKat,Texas A&M University,Male,"Bryan, Texas",55137,Maritime,AdamsWK
40242,40242,False,std,9475,PahkJ,,Male,"Novato, California",23787,Coastal,AdamsZ
57384,57384,False,std,17324,GoecknerB,UC Berkeley,Male,"New York, New York",19363,Rubicon,AdamskiD
48072,48072,False,std,24976,GuagnoM,Western Washington University,Male,"Los Angeles, California",37581,Outback,AdamsonR
10388,10388,False,std,20944,LaLondeM,,Male,"Canberra, ACT",16957,Valley,AdcockM
10711,10711,False,pm,13753,HauensteinK,St. Olaf College,Male,"Cedar Park, Texas",10080,Highland,AdcoxT
28635,28635,False,pm,5268,VittorJ,Williams College,Male,"New York City, New York",23845,Cosmos,AddelsonJ
15065,15065,False,pm,15254,AbdalianA,,Female,"Brooklyn, New York",21757,Commonwealth,AddlemanR
9721,9721,False,std,21964,GrayI,,Male,"Philadelphia, Pennsylvania",14425,Horizon,AddoF
63409,63409,False,std,9810,WagnerRobert3,,Male,"Arlington, Virginia",29726,Piedmont,AdelG
28875,28875,False,std,10299,FlevaresG,University of Rochester,Male,"Rochester, New York",10299,Zephyr,AdelmanM
3373,3373,False,std,16844,WhitlockS,UCLA,Cisgender Male,"Riverside, California",24888,Central,AdelsonJoshua
54507,54507,False,std,23897,SterlacciJ,Cal State Los Angeles,Female,"Boston, Massachusetts",27468,Taiga,AdelsonK
13203,13203,False,pm,17934,ParsonsC,Iowa State University of Science and Technology,Male,"Seattle, Washington",21964,Badlands,AderholdE
22434,22434,False,std,2363,ShenS,"Yale College, Columbia University",Female,"New York, New York",2363,Xanadu,AdharS
57135,57135,False,topcont,19548,GrewalG,,Female,"Bangalore, India",54778,Yukon,AdhikaryK
16960,16960,False,pm,1233,SorensonG,UIC,Male,"Chicago, Illinois",20391,Sequoia,AdiliJ
27770,27770,False,std,25583,RobertsonJ,The George Washington University,Male,"Charleston, South Carolina",25583,Monolith,AdkinsJ
37095,37095,False,std,9962,PatalanoC,,Male,"Durham, North Carolina",27512,Tidewater,AdkinsJ3
11959,11959,False,std,25583,RobertsonJ,College of Charleston,Female,"Charleston, South Carolina",27770,Monolith,AdkinsJK
14432,14432,False,std,16766,SuthersE,Gonzaga,Male,"Washington, DC",12784,Savanna,AdkinsT
29242,29242,False,std,28897,AndersonDR,Boston University,Male,"Brooklyn, New York",10785,Tidewater,AdkisonD
